Document Type,Authors,Title,Source,Year,Link,Abstract,Keywords
Article,"Straňák Z., Penčák M., Veith M.",VYU&#381;ITÍ UM&#282;LÉ INTELIGENCE V ZÁCHYTU DIABETICKÉ RETINOPATIE. P&#344;EHLED [ARTIFICIAL INTELLIGENCE IN DIABETIC RETINOPATHY SCREENING. A REVIEW],Ceska a slovenska oftalmologie : casopis Ceske oftalmologicke spolecnosti a Slovenske oftalmologicke spolecnosti,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107998346&partnerID=40&md5=8fbe1a741590bba03a63b943360c3432,"OBJECTIVE: The aim of this comprehensive paper is to acquaint the readers with evaluation of the retinal images using the arteficial intelligence (AI). Main focus of the paper is diabetic retinophaty (DR) screening. The basic principles of the artificial intelligence and algorithms that are already used in clinical practice or are shortly before approval will be described. METHODOLOGY: Describing the basic characteristics and mechanisms of different approaches to the use of AI and subsequently literary minireview clarifying the current state of knowledge in the area. RESULTS: Modern systems for screening diabetic retinopathy using deep neural networks achieve a sensitivity and specificity of over 80 % in most published studies. The results of specific studies vary depending on the definition of the gold standard, number of images tested and on the evaluated parameters. CONCLUSION: Evaluation of images using AI will speed up and streamline the diagnosis of DR. The use of AI will allow to keep the quality of the eye care at least on the same level despite the raising number of the patients with diabetes.",artificial intelligence; diabetic retinopathy; Diabetic retinopathy; mass screening; screening
Article,"Alqudah A.M., Alquran H., Abu-Qasmieh I., Al-Badarneh A.",Employing image processing techniques and artificial intelligence for automated eye diagnosis using digital eye fundus images,"Journal of Biomimetics, Biomaterials and Biomedical Engineering",2018,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063079251&doi=10.4028%2fwww.scientific.net%2fJBBBE.39.40&partnerID=40&md5=2b589cfd3456def4856eecc32889815e,"Blindness usually comes from two main causes, glaucoma and diabetes. Robust mass screening is performed for diagnosing, such as screening that requires a cost-effective method for glaucoma and diabetic retinopathy and integrates well with digital medical imaging, image processing, and administrative processes. For addressing all these issues, we propose a novel low-cost automated glaucoma and diabetic retinopathy diagnosis system, based on features extraction from digital eye fundus images. This paper proposes a diagnosis system for automated identification of healthy, glaucoma, and diabetic retinopathy. Using a combination of local binary pattern features, Gabor filter features, statistical features, and color features which are then fed to an artificial neural network and support vector machine classifiers. In this work, the classifier identifies healthy, glaucoma, and diabetic retinopathy images with an accuracy of 91.1%,92.9%, 92.9%, and 92.3% and sensitivity of 91.06%, 92.6%, 92.66%, and 91.73% and specificity of 89.83%, 91.26%, 91.96%, and 89.16% for ANN, and an accuracy of 90.0%,92.94%, 95.43%, and 97.92% and sensitivity of 89.34%, 93.26%, 95.72%, and 97.93% and specificity of 95.13%, 96.68%, 97.88%, and 99.05% for SVM, based on 5, 10, 15, and 31 number of selected features. The proposed system can detect glaucoma, diabetic retinopathy and normal cases with high accuracy and sensitivity using selected features, the performance of the system is high due to using of a huge fundus database. © 2018 Trans Tech Publications, Switzerland",Classification; Diabetic Retinopathy; Diagnosis; Eye Fundus; Glaucoma
Conference Paper,"Zhao Z., Chopra K., Zeng Z., Li X.",Sea-Net: Squeeze-And-Excitation Attention Net for Diabetic Retinopathy Grading,"Proceedings - International Conference on Image Processing, ICIP",2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098637817&doi=10.1109%2fICIP40778.2020.9191345&partnerID=40&md5=d7c59da4744a90b532e6b338121ee080,"Diabetes is one of the most common disease in individuals. Diabetic retinopathy (DR) is a complication of diabetes, which could lead to blindness. Automatic DR grading based on retinal images provides a great diagnostic and prognostic value for treatment planning. However, the subtle differences among severity levels make it difficult to capture important features using conventional methods. To alleviate the problems, a new deep learning architecture for robust DR grading is proposed, referred to as SEA-Net, in which, spatial attention and channel attention are alternatively carried out and boosted with each other, improving the classification performance. In addition, a hybrid loss function is proposed to further maximize the inter-class distance and reduce the intraclass variability. Experimental results have shown the effectiveness of the proposed architecture. © 2020 IEEE.",Attention mechanism; Convolutional neural network; Diabetic retinopathy grading; Squeeze-and-Excitation net
Article,"Ravala L., Rajini G.K.",Automatic Diagnosis of Diabetic Retinopathy from Retinal Abnormalities: Improved Jaya-Based Feature Selection and Recurrent Neural Network,Computer Journal,2022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134880419&doi=10.1093%2fcomjnl%2fbxab068&partnerID=40&md5=cd6aefefd7636cd1186f67de93584b58,"Accurate diagnosis of lesions bears the highest significance in the early detection of diabetic retinopathy (DR). In this paper, the combination of intelligent methods is developed for segmenting the abnormalities like ‘hard exudates, hemorrhages, microaneurysm and soft exudates’ to detect the DR. The proposed model involves seven main steps: (a) image pre-processing, (b) optic disk removal (c) blood vessel removal, (d) segmentation of abnormalities, (e) feature extraction, (f) optimal feature selection and (f) classification. The pre-processing of the input retinal fundus image is performed by two operations like contrast enhancement by histogram equalization and filtering by average filtering. For the segmentation of abnormalities, the same Circular Hough Transform followed by Top-hat filtering and Gabor filtering is used. Next, the entropy-scale-invariant feature transform (SIFT), grey level co-occurrence matrices and color morphological features are extracted in feature extraction. The optimally selected features are subjected to the classification part, which uses a modified deep learning algorithm called optimized recurrent neural network (RNN). As the main novelty, the optimal feature selection and optimized RNN depends on an improved meta-heuristic algorithm called fitness oriented improved Jaya algorithm. Hence, the beneficial part of the optimization algorithm improves the feature selection and classification. © The British Computer Society 2021. All rights reserved.",diagnosis of diabetic retinopathy; feature extraction; fitness oriented improved Jaya algorithm; novel blood vessel segmentation algorithm; optimal feature selection; recurrent neural network
Article,"Bengani S., Angel Arul Jothi J., Vadivel S.",Automatic segmentation of optic disc in retinal fundus images using semi-supervised deep learning,Multimedia Tools and Applications,2021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091266818&doi=10.1007%2fs11042-020-09778-6&partnerID=40&md5=54bad217839a0795dd5e5afaf9e529fa,"Diseases of the eye require manual segmentation and examination of the optic disc by ophthalmologists. Though, image segmentation using deep learning techniques is achieving remarkable results, it leverages on large-scale labeled datasets. But, in the field of medical imaging, it is challenging to acquire large labeled datasets. Hence, this article proposes a novel deep learning model to automatically segment the optic disc in retinal fundus images by using the concepts of semi-supervised learning and transfer learning. Initially, a convolutional autoencoder (CAE) is trained to automatically learn features from a large number of unlabeled fundus images available from the Kaggle’s diabetic retinopathy (DR) dataset. The autoencoder (AE) learns the features from the unlabeled images by reconstructing the input images and becomes a pre-trained network (model). After this, the pre-trained autoencoder network is converted into a segmentation network. Later, using transfer learning, the segmentation network is trained with retinal fundus images along with their corresponding optic disc ground truth images from the DRISHTI GS1 and RIM-ONE datasets. The trained segmentation network is then tested on retinal fundus images from the test set of DRISHTI GS1 and RIM-ONE datasets. The experimental results show that the proposed method performs on par with the state-of-the-art methods achieving a 0.967 and 0.902 dice score coefficient on the test set of the DRISHTI GS1 and RIM-ONE datasets respectively. The proposed method also shows that transfer learning and semi-supervised learning overcomes the barrier imposed by the large labeled dataset. The proposed segmentation model can be used in automatic retinal image processing systems for diagnosing diseases of the eye. © 2020, Springer Science+Business Media, LLC, part of Springer Nature.",Autoencoder; Convolutional neural network; Deep learning; Optic disc; Segmentation; Semi-supervised learning; Transfer learning
Article,"Bhardwaj C., Jain S., Sood M.",Deep Learning–Based Diabetic Retinopathy Severity Grading System Employing Quadrant Ensemble Model,Journal of Digital Imaging,2021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102240822&doi=10.1007%2fs10278-021-00418-5&partnerID=40&md5=1d0992a6ca32d6046d764c554100a891,"The diabetic retinopathy accounts in the deterioration of retinal blood vessels leading to a serious compilation affecting the eyes. The automated DR diagnosis frameworks are critically important for the early identification and detection of these eye-related problems, helping the ophthalmic experts in providing the second opinion for effectual treatment. The deep learning techniques have evolved as an improvement over the conventional approaches, which are dependent on the handcrafted feature extraction. To address the issue of proficient DR discrimination, the authors have proposed a quadrant ensemble automated DR grading approach by implementing InceptionResnet-V2 deep neural network framework. The presented model incorporates histogram equalization, optical disc localization, and quadrant cropping along with the data augmentation step for improving the network performance. A superior accuracy performance of 93.33% is observed for the proposed framework, and a significant reduction of 0.325 is noticed in the cross-entropy loss function for MESSIDOR benchmark dataset; however, its validation utilizing the latest IDRiD dataset establishes its generalization ability. The accuracy improvement of 13.58% is observed when the proposed QEIRV-2 model is compared with the classical Inception-V3 CNN model. To justify the viability of the proposed framework, its performance is compared with the existing state-of-the-art approaches and 25.23% of accuracy improvement is observed. © 2021, Society for Imaging Informatics in Medicine.",Convolution neural network; Data augmentation; Deep neural network; Diabetic retinopathy; Hand-crafted features; InceptionResnet-V2
Article,"Serener A., Serte S.",Geographic variation and ethnicity in diabetic retinopathy detection via deep learning,Turkish Journal of Electrical Engineering and Computer Sciences,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085010842&doi=10.3906%2felk-1902-131&partnerID=40&md5=b86d0463c9daa0e7927771862a06833b,"The prevalence of diabetes is on the rise steadily around the globe. Diabetic retinopathy (DR) is a result of damage to the blood vessels in the retina due to diabetes and its fast treatment is crucial for preventing possible blindness. The diagnosis of DR is done mostly using a comprehensive eye exam, where the eye is dilated for better inspection. Analysis by an ophthalmologist is prone to human error and thus automatic and highly accurate detection of DR is preferred for an earlier and better diagnosis. It is important, however, that automatic detection be accurate for all data collected from patients of different geographic and ethnic backgrounds. In this paper, the automatic detection of DR with a deep learning algorithm is analyzed when geographic and ethnic information of the patients is also integrated into the architecture. It is shown that robust and generalizable DR detection performance is linearly related to the correlation of geographic and ethnic patient information between the training and the testing datasets. The deep learning model created eliminates geographic variation in the detection and works for patients of all ethnicities. © 2020 Turkiye Klinikleri. All rights reserved.",Deep learning; Diabetic retinopathy; Ethnicity; Fundus images; Geographic variation
Conference Paper,"Adarsh R., Amarnageswarao G., Pandeeswari R., Deivalakshmi S.",Dense Residual Convolutional Auto Encoder for Retinal Blood Vessels Segmentation,"2020 6th International Conference on Advanced Computing and Communication Systems, ICACCS 2020",2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084666104&doi=10.1109%2fICACCS48705.2020.9074172&partnerID=40&md5=88a19ed72bed7b691fb8bde354300e6c,"In order to overcome the difficulties in retinal blood vessel segmentation and aid ophthalmologists in diagnosis of diabetic retinopathy and glaucoma, there is a need for effective segmentation techniques. One such efficient technique is to use a model for segmentation using deep learning. In this paper, an auto encoder deep learning network model based on residual path and U-net has been implemented to effectively segment the retinal blood vessels. Our network model has been implemented and tested on DRIVE dataset. This proposed model is reporting an increase in efficiency and Area under ROC compared to previous methods. © 2020 IEEE.",medical image segmentation; Residual Network; Retinal vessels; U-net
Article,"Derwin D.J., Shan B.P., Singh O.J.",Hybrid multi-kernel SVM algorithm for detection of microaneurysm in color fundus images,Medical and Biological Engineering and Computing,2022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127468635&doi=10.1007%2fs11517-022-02534-y&partnerID=40&md5=a71d92fc1ed6ec3f4ae722c1d03008ef,"Diabetic retinopathy (DR) is a chronic disease that may cause vision loss in diabetic patients. Microaneurysms which are characterized by small red spots on the retina due to fluid or blood leakage from the weak capillary wall often occur during the early stage of DR, making screening at this stage is essential. In this paper, an automatic screening system for early detection of DR in retinal images is developed using a combined shape and texture features. Due to minimum number of hand-crafted features, the computational burden is much reduced. The proposed hybrid multi-kernel support vector machine classifier is constructed by learning a kernel model formed as a combination of the base kernels. This approach outperforms the recent deep learning techniques in terms of the evaluation metrics. The efficiency of the proposed scheme is experimentally validated on three public datasets — Retinopathy Online Challenge, DIARETdB1, MESSIDOR, and AGAR300 (developed for this study). Studies reveal that the proposed model produced the best results of 0.503 in ROC dataset, 0.481 in DIARETdB1, and 0.464 in the MESSIDOR dataset in terms of FROC score. The AGAR300 database outperforms the existing MA detection algorithm in terms of FROC, AUC, F1 score, precision, sensitivity, and specificity which guarantees the robustness of this system. Graphical abstract: [Figure not available: see fulltext.] © 2022, International Federation for Medical and Biological Engineering.",Diabetic retinopathy; Fundus image; Gradient weighting; Hybrid multi-kernel support vector machine; Microaneurysm
Article,"Abdelmaksoud E., El-Sappagh S., Barakat S., Abuhmed T., Elmogy M.",Automatic Diabetic Retinopathy Grading System Based on Detecting Multiple Retinal Lesions,IEEE Access,2021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099725193&doi=10.1109%2fACCESS.2021.3052870&partnerID=40&md5=464c50804f5e3777b9d0e5642db2d6c7,"Multi-label classification (MLC) is considered an essential research subject in the computer vision field, principally in medical image analysis. For this merit, we derive benefits from MLC to diagnose multiple grades of diabetic retinopathy (DR) from various colored fundus images, especially from multi-label (ML) datasets. Therefore, ophthalmologists can detect early signs of DR as well as various grades to initiate appropriate treatment and avoid DR complications. In this paper, we propose a comprehensive ML computer-aided diagnosis (CAD) system based on deep learning technique. The proposed system's main contribution is to detect and analyze various pathological changes accompanying DR development in the retina without injecting the patient with dye or making expensive scans. The proposed ML-CAD system visualizes the different pathological changes and diagnoses the DR grades for the ophthalmologists. First, we eliminate noise, enhance quality, and standardize the sizes of the retinal images. Second, we differentiated between the healthy and DR cases by calculating the gray level run length matrix average in four different directions. The system automatically extracts the four changes: exudates, microaneurysms, hemorrhages, and blood vessels by utilizing a deep learning technique (U-Net). Next, we extract six features, which are the gray level co-occurrence matrix, areas of the four segmenting pathology variations, and the bifurcation points count of the blood vessels. Finally, the resulting features were afforded to an ML support vector machine (SVM) based on a classifier chain to differentiate the various DR grades. We utilized eight benchmark datasets (four of them are considered ML) and six different performance evaluation metrics to evaluate the proposed system's performance. It achieved 95.1%, 91.9%, 86.1%, 86.8%, 84.7%, 86.2% for accuracy, area under the curve, sensitivity, specificity, positive predictive value, and dice similarity coefficient, respectively. The experiments show encouraging results as compared with other systems. © 2013 IEEE.",deep learning (DL); diabetic retinopathy (DR); multi-label classification (MLC); Multi-label computer-aided diagnosis (ML-CAD); U-Net
Article,"Huang C., Zong Y., Ding Y., Luo X., Clawson K., Peng Y.",A new deep learning approach for the retinal hard exudates detection based on superpixel multi-feature extraction and patch-based CNN,Neurocomputing,2021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099607549&doi=10.1016%2fj.neucom.2020.07.145&partnerID=40&md5=33b00914e612050412c1156259097390,"Diabetic Retinopathy (DR) is a severe complication of chronic diabetes causing significant visual deterioration and may lead to blindness with delay of being treated. Exudative diabetic maculopathy, a form of macular edema where hard exudates (HE) develop, is a frequent cause of visual deterioration in DR. The detection of HE comprises a significant role in the DR diagnosis. In this paper, an automatic exudates detection method based on superpixel multi-feature extraction and patch-based deep convolutional neural network is proposed. Firstly, superpixels, regarded as candidates, are generated on each resized image using the superpixel segmentation algorithm called Simple Linear Iterative Clustering (SLIC). Then, 25 features extracted from resized images and patches are generated on each feature. Patches are subsequently used to train a deep convolutional neural network, which distinguishes the hard exudates from the background. Experiments conducted on three publicly available datasets (DiaretDB1, e-ophtha EX and IDRiD) demonstrate that our proposed methodology achieved superior HE detection when compared with current state-of-art algorithms. © 2020 Elsevier B.V.",Automatic diagnosis; Deep learning; Feature extraction; Retinal hard exudates; Superpixel
Article,"Dayana A.M., Emmanuel W.R.S.",Deep learning enabled optimized feature selection and classification for grading diabetic retinopathy severity in the fundus image,Neural Computing and Applications,2022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132348206&doi=10.1007%2fs00521-022-07471-3&partnerID=40&md5=c3fb9681ff25fd5a2d806758ec33dd44,"Diabetic Retinopathy (DR), one of the most progressive sight-threatening diseases caused by the long-term diabetic condition, can lead to vision impairment and blindness later. Early diagnosis and timely treatment help control and avert DR from its progression. However, manual grading is exceptionally challenging and arduous due to the complex anatomical features in the retina. Therefore, developing an automated diagnostic method for screening DR is obligatory. This paper proposes a deep learning-enabled optimized feature selection approach to classify the stage of DR severity in the fundus image. At first, a pre-processing phase eradicates the noise and improves the contrast in the retinal fundus image. Then, blood vessel segmentation is performed using the Coherence Enhancing Energy Based Regularized Level Set Evolution method in the green channel fundus image. Subsequently, the optic disk is segmented with Canny Anisotropic Diffusion filter and morphological transformations. Next, the candidate lesion region is detected using an Attention-based Fusion Network (AFU-Net). Then, shape and texture features are extracted, and then, the optimal subset of features is selected using the Improved Harris Hawk Optimization algorithm. Finally, a deep Convolutional Neural Network classifies the DR stages, and the model weight is updated using the same algorithm. The proposed method achieved superior performance in two benchmark public datasets compared with the existing state-of-the-art methods using F1-score, accuracy, sensitivity, and specificity measures. © 2022, The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature.",Anisotropic diffusion filter; Convolutional neural network; Diabetic retinopathy; Fusion network; Harris hawk optimization
Article,"Hemanth D.J., Deperlioglu O., Kose U.",An enhanced diabetic retinopathy detection and classification approach using deep convolutional neural network,Neural Computing and Applications,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059473749&doi=10.1007%2fs00521-018-03974-0&partnerID=40&md5=5e6f1a2aca4b8b1679fa97b3b112ed99,"The objective of this study is to propose an alternative, hybrid solution method for diagnosing diabetic retinopathy from retinal fundus images. In detail, the hybrid method is based on using both image processing and deep learning for improved results. In medical image processing, reliable diabetic retinopathy detection from digital fundus images is known as an open problem and needs alternative solutions to be developed. In this context, manual interpretation of retinal fundus images requires the magnitude of work, expertise, and over-processing time. So, doctors need support from imaging and computer vision systems and the next step is widely associated with use of intelligent diagnosis systems. The solution method proposed in this study includes employment of image processing with histogram equalization, and the contrast limited adaptive histogram equalization techniques. Next, the diagnosis is performed by the classification of a convolutional neural network. The method was validated using 400 retinal fundus images within the MESSIDOR database, and average values for different performance evaluation parameters were obtained as accuracy 97%, sensitivity (recall) 94%, specificity 98%, precision 94%, FScore 94%, and GMean 95%. In addition to those results, a general comparison of with some previously carried out studies has also shown that the introduced method is efficient and successful enough at diagnosing diabetic retinopathy from retinal fundus images. By employing the related image processing techniques and deep learning for diagnosing diabetic retinopathy, the proposed method and the research results are valuable contributions to the associated literature. © 2019, Springer-Verlag London Ltd., part of Springer Nature.",Convolutional neural network; Deep learning; Diabetic retinopathy; Image processing
Conference Paper,"Zeng M., Fang J., Miao H., Zhang T., Liu J.",A Multi-Scale Self-Attention Network for Diabetic Retinopathy Retrieval,ACM International Conference Proceeding Series,2021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120532249&doi=10.1145%2f3484274.3484290&partnerID=40&md5=3482d56614a8331565d2a81b3000180d,"Diabetic retinopathy (DR), a complication due to diabetes, is a common cause of progressive damage to the retina. The mass screening of populations for DR is time-consuming. Therefore, computerized diagnosis is of great significance in the clinical practice, which providing evidence to assist clinicians in decision making. Specifically, hemorrhages, microaneurysms, hard exudates, soft exudates, and other lesions are verified to be closely associated with DR. These lesions, however, are scattered in different positions and sizes in fundus images, the internal relation of which are hard to be reserved in the ultimate features due to a large number of convolution layers that reduce the detail characteristics. In this paper, we present a deep-learning network with a multi-scale self-attention module to aggregate the global context to learned features for DR image retrieval. The multi-scale fusion enhances, in terms of scale, the efficacious latent relation of different positions in features explored by the self-attention. For the experiment, the proposed network is validated on the Kaggle DR dataset, and the result shows that it achieves state-of-the-art performance. © 2021 ACM.",Deep learning; Diabetic retinopathy; Image retrieval; Self-attention
Conference Paper,"Wang K., Zhang X., Huang S., Wang Q., Chen F.",CTF-Net: Retinal Vessel Segmentation via Deep Coarse-To-Fine Supervision Network,Proceedings - International Symposium on Biomedical Imaging,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085865115&doi=10.1109%2fISBI45749.2020.9098742&partnerID=40&md5=1aa891461f582dad4adde79af2faeb5e,"Retinal blood vessels structure plays an important role in the early diagnosis of diabetic retinopathy, which is a cause of blindness globally. However, the precise segmentation of retinal vessels is often extremely challenging due to the low contrast and noise of the capillaries. In this paper, we propose a novel model of deep coarse-to-fine supervision network (CTF-Net) to solve this problem. This model consists of two U-shaped architecture(coarse and fine segNet). The coarse segNet, which learns to predict probability retina map from input patchs, while the fine segNet refines the predicted map. To gain more paths to preserve the multi-scale and rich deep features information, we design an end-to-end training network instead of multi-stage learning framework to segment the retina vessel from coarse to fine. Furthermore, in order to improve feature representation and reduce the number of parameters of model, we introduce a novel feature augmentation module (FAM-residual block). Experiment results confirm that our method achieves the state-of-the-art performances on the popular datasets DRIVE, CHASE-DB1 and STARE. © 2020 IEEE.",coarse-to-fine segNet; computer aided-diagnosis; deep learning; Retinal vessel segmentation
Article,"Rodrigues E.O., Conci A., Liatsis P.",ELEMENT: Multi-Modal Retinal Vessel Segmentation Based on a Coupled Region Growing and Machine Learning Approach,IEEE Journal of Biomedical and Health Informatics,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097571304&doi=10.1109%2fJBHI.2020.2999257&partnerID=40&md5=43990b830e688491b595d5872b26240a,"Vascular structures in the retina contain important information for the detection and analysis of ocular diseases, including age-related macular degeneration, diabetic retinopathy and glaucoma. Commonly used modalities in diagnosis of these diseases are fundus photography, scanning laser ophthalmoscope (SLO) and fluorescein angiography (FA). Typically, retinal vessel segmentation is carried out either manually or interactively, which makes it time consuming and prone to human errors. In this research, we propose a new multi-modal framework for vessel segmentation called ELEMENT (vEsseL sEgmentation using Machine lEarning and coNnecTivity). This framework consists of feature extraction and pixel-based classification using region growing and machine learning. The proposed features capture complementary evidence based on grey level and vessel connectivity properties. The latter information is seamlessly propagated through the pixels at the classification phase. ELEMENT reduces inconsistencies and speeds up the segmentation throughput. We analyze and compare the performance of the proposed approach against state-of-the-art vessel segmentation algorithms in three major groups of experiments, for each of the ocular modalities. Our method produced higher overall performance, with an overall accuracy of 97.40%, compared to 25 of the 26 state-of-the-art approaches, including six works based on deep learning, evaluated on the widely known DRIVE fundus image dataset. In the case of the STARE, CHASE-DB, VAMPIRE FA, IOSTAR SLO and RC-SLO datasets, the proposed framework outperformed all of the state-of-the-art methods with accuracies of 98.27%, 97.78%, 98.34%, 98.04% and 98.35%, respectively. © 2013 IEEE.",Machine learning; pixel connectivity; pixel-based classi-fication; region growing; retinal vessel segmentation
Article,"Straňák Z., Penčák M., Veith M.",VYU&#381;ITÍ UM&#282;LÉ INTELIGENCE V ZÁCHYTU DIABETICKÉ RETINOPATIE. P&#344;EHLED [ARTEFICIAL INTELLIGENCE IN DIABETIC RETINOPATHY SCREENING. A REVIEW],Ceska a slovenska oftalmologie : casopis Ceske oftalmologicke spolecnosti a Slovenske oftalmologicke spolecnosti,2021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119491352&doi=10.31348%2f2021%2f6&partnerID=40&md5=0f482f505d19061fd474788ef978f3a1,"OBJECTIVE: The aim of this comprehensive paper is to acquaint the readers with evaluation of the retinal images using the arteficial intelligence (AI). Main focus of the paper is diabetic retinophaty (DR) screening. The basic principles of the artificial intelligence and algorithms that are already used in clinical practice or are shortly before approval will be described. METHODOLOGY: Describing the basic characteristics and mechanisms of different approaches to the use of AI and subsequently literary minireview clarifying the current state of knowledge in the area. RESULTS: Modern systems for screening diabetic retinopathy using deep neural networks achieve a sensitivity and specificity of over 80 % in most published studies. The results of specific studies vary depending on the definition of the gold standard, number of images tested and on the evaluated parameters. CONCLUSION: Evaluation of images using AI will speed up and streamline the diagnosis of DR. The use of AI will allow to keep the quality of the eye care at least on the same level despite the raising number of the patients with diabetes.",artificial intelligence; diabetic retinopathy; Diabetic retinopathy; mass screening; screening
Conference Paper,"Sanjana S., Shadin N.S., Farzana M.",Automated Diabetic Retinopathy Detection Using Transfer Learning Models,"2021 5th International Conference on Electrical Engineering and Information and Communication Technology, ICEEICT 2021",2021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128498493&doi=10.1109%2fICEEICT53905.2021.9667793&partnerID=40&md5=66065a44edc4ddfe705c8d9c2e5e16c8,"Diabetic retinopathy (DR) is one of the most leading symptoms of vision-loss globally. Early detection and screening can halt its progression. Until date, ophthalmologists have manually screened DR, however, DR detection can be difficult in low-resource areas when there are few ophthalmologists available. Deep learning has recently been one of the most popular strategies for improving performance in a variety of fields, particularly medical image analysis and classification. It can be used to more effectively detect DR and so maintain vision. Transfer learning models are becoming increasingly commonly employed as a deep learning method, and they are quite effective. Two public datasets which contain 1115 retinal fundus images are used in this research. Our research proposed a binary classification of DR, which is done with five Transfer learning models Xception, InceptionResNetV2, MobileNetV2, DenseNet121, and NASNetMobile which achieved the highest validation accuracy of 86.25%, 96.25%, 93.75%, 81.25%, and 80.00% respectively. © 2021 IEEE.",DenseNet121; Diabetic Retinopathy; InceptionResNetV2; MobileNetV2; NASNetMobile; Xception
Article,"Alyoubi W.L., Abulkhair M.F., Shalash W.M.",Diabetic retinopathy fundus image classification and lesions localization system using deep learning,Sensors,2021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106438519&doi=10.3390%2fs21113704&partnerID=40&md5=a946ccef40d4eb06f39a149033ae8d95,"Diabetic retinopathy (DR) is a disease resulting from diabetes complications, causing non-reversible damage to retina blood vessels. DR is a leading cause of blindness if not detected early. The currently available DR treatments are limited to stopping or delaying the deterioration of sight, highlighting the importance of regular scanning using high-efficiency computer-based systems to diagnose cases early. The current work presented fully automatic diagnosis systems that exceed manual techniques to avoid misdiagnosis, reducing time, effort and cost. The proposed system classifies DR images into five stages—no-DR, mild, moderate, severe and proliferative DR—as well as localizing the affected lesions on retain surface. The system comprises two deep learning-based models. The first model (CNN512) used the whole image as an input to the CNN model to classify it into one of the five DR stages. It achieved an accuracy of 88.6% and 84.1% on the DDR and the APTOS Kaggle 2019 public datasets, respectively, compared to the state-of-the-art results. Simultaneously, the second model used an adopted YOLOv3 model to detect and localize the DR lesions, achieving a 0.216 mAP in lesion localization on the DDR dataset, which improves the current state-of-the-art results. Finally, both of the proposed structures, CNN512 and YOLOv3, were fused to classify DR images and localize DR lesions, obtaining an accuracy of 89% with 89% sensitivity, 97.3 specificity and that exceeds the current state-of-the-art results. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Computer-aided diagnosis; Convolutional neural networks; Deep learning; Diabetic retinopathy; Diabetic retinopathy classification; Diabetic retinopathy lesions localization; YOLO
Conference Paper,"Vinoth Kumar B., Swedhaasri M., Parekh T., Sharma A.",A Multi-Stage Deep Transfer Learning Method for Classification of Diabetic Retinopathy in Retinal images,"Proceedings of the 2nd International Conference on Electronics and Sustainable Communication Systems, ICESC 2021",2021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116654812&doi=10.1109%2fICESC51422.2021.9532991&partnerID=40&md5=9b9f94a3a346cbe8c0163507735699b3,"Diabetic Retinopathy (DR) is one among the most dangerous complications of polygenic disease, and if it is untreated, it can result in permanent disability. Early detection is critical for clinical progress and it is one of the most difficult challenges. Unfortunately, determining the stage of DR is prominently difficult as well as this calls for skillful rendition from humans on the structural images of body. The significance in simplifying this process of detecting cannot be overstated. Convolutional neural networks have been effectually used in a various fields, as well as in the detection of D R. However, the increasing expense of huge labelled datasets and also variability among physicians, who are completely different block the effectiveness of these strategies. In this perspective, this research work has proposed a deep learning-based automated technique for DR stage classification and detection by utilizing sole photography of the fundus in human retina. Further, the proposed research work has suggested a multi-stage deep transfer learning technique that uses equivalent datasets for including labeling, which is completely different. The methodology suggested by this research work can be utilized as a screening method employed for early diagnosis of DR with a sensitivity and specificity of 0.99 as well as a quadratic weighted kappa grade at 0.925466 of blindness detection dataset. © 2021 IEEE.",classification; convolutional neural network; Deep learning; DR; multi-target learning; ordinal regression; quadratic weighted kappa(QWK); test-time augmentation(TTA)
