Document Type,Authors,Title,Source,Year,Link,Abstract,Keywords
Article,"Zhang, Wei; Zhong, Jie; Yang, Shijun; Gao, Zhentao; Hu, Junjie; Chen, Yuanyuan; Yi, Zhang",Automated identification and grading system of diabetic retinopathy using deep neural networks,knowledge-based systems,2019,Not found,"Diabetic retinopathy (DR) is a major cause of human vision loss worldwide. Slowing down the progress of the disease requires early screening. However, the clinical diagnosis of DR presents a considerable challenge in low-resource settings where few ophthalmologists are available to care for all patients with diabetes. In this study, an automated DR identification and grading system called DeepDR is proposed. DeepDR directly detects the presence and severity of DR from fundus images via transfer learning and ensemble learning. It comprises a set of state-of-the-art neural networks based on combinations of popular convolutional neural networks and customised standard deep neural networks. The DeepDR system is developed by constructing a high-quality dataset of DR medical images and then labelled by clinical ophthalmologists. We further explore the relationship between the number of ideal component classifiers and the number of class labels, as well as the effects of different combinations of component classifiers on the best integration performance to construct an optimal model. We evaluate the models on the basis of validity and reliability using nine metrics. Results show that the identification model performs best with a sensitivity of 97.5%, a specificity of 97.7% and an area under the curve of 97.7%. Meanwhile, the grading model achieves a sensitivity of 98.1% and a specificity of 98.9%. On the basis of the methods above, DeepDR can detect DR satisfactorily. Experiment results indicate the importance and effectiveness of the ideal number and combinations of component classifiers in relation to model performance. DeepDR provides reproducible and consistent detection results with high sensitivity and specificity instantaneously. Hence, this work provides ophthalmologists with insights into the diagnostic process. (C) 2019 Elsevier B.V. All rights reserved.",deep learning; diabetic retinopathy; ensemble learning; fundus images; image classification; transfer learning
Article,"Jadhav, Ambaji S.; Patil, Pushpa B.; Biradar, Sunil",Optimal feature selection-based diabetic retinopathy detection using improved rider optimization algorithm enabled with deep learning,evolutionary intelligence,2021,Not found,"This proposal tempts to develop automated DR detection by analyzing the retinal abnormalities like hard exudates, haemorrhages, Microaneurysm, and soft exudates. The main processing phases of the developed DR detection model is Pre-processing, Optic Disk removal, Blood vessel removal, Segmentation of abnormalities, Feature extraction, Optimal feature selection, and Classification. At first, the pre-processing of the input retinal image is done by Contrast Limited Adaptive Histogram Equalization. The next phase performs the optic disc removal, which is carried out by open-close watershed transformation. Further, the Grey Level thresholding is done for segmenting the blood vessels and its removal. Once the optic disk and blood vessels are removed, segmentation of abnormalities is done by Top hat transformation and Gabor filtering. Further, the feature extraction phase is started, which tends to extract four sets of features like Local Binary Pattern, Texture Energy Measurement, Shanon's and Kapur's entropy. Since the length of the feature vector seems to be long, the feature selection process is done, which selects the unique features with less correlation. Moreover, the Deep Belief Network (DBN)-based classification algorithm performs the categorization of images into four classes normal, earlier, moderate, or severe stages. The optimal feature selection is done by the improved meta-heuristic algorithm called Modified Gear and Steering-based Rider Optimization Algorithm (MGS-ROA), and the same algorithm updates the weight in DBN. Finally, the effectual performance and comparative analysis prove the stable and reliable performance of the proposed model over existing models. The performance of the proposed model is compared with the existing classifiers, such as, NN, KNN, SVM, DBN and the conventional Heuristic-Based DBNs, such as PSO-DBN, GWO-DBN, WOA-DBN, and ROA-DBN for the evaluation metrics, accuracy, sensitivity, specificity, precision, FPR, FNR, NPV, FDR, F1 score, and MC. From the results, it is exposed that the accuracy of the proposed MGS-ROA-DBN is 30.1% higher than NN, 32.2% higher than KNN, and 17.1% higher than SVM and DBN. Similarly, the accuracy of the developed MGS-ROA-DBN is 13.8% superior to PSO, 5.1% superior to GWO, 10.8% superior to WOA, and 2.5% superior to ROA.",diabetic retinopathy diagnosis; retinal abnormalities; optimal feature selection; deep belief network; modified gear and steering-based rider optimization algorithm
Article,"Erciyas, Abdussamed; Barisci, Necaattin",An Effective Method for Detecting and Classifying Diabetic Retinopathy Lesions Based on Deep Learning,computational and mathematical methods in medicine,2021,Not found,"Diabetic retinopathy occurs as a result of the harmful effects of diabetes on the eyes. Diabetic retinopathy is also a disease that should be diagnosed early. If not treated early, vision loss may occur. It is estimated that one third of more than half a million diabetic patients will have diabetic retinopathy by the 22nd century. Many effective methods have been proposed for disease detection with deep learning. In this study, unlike other studies, a deep learning-based method has been proposed in which diabetic retinopathy lesions are detected automatically and independently of datasets, and the detected lesions are classified. In the first stage of the proposed method, a data pool is created by collecting diabetic retinopathy data from different datasets. With Faster RCNN, lesions are detected, and the region of interests are marked. The images obtained in the second stage are classified using the transfer learning and attention mechanism. The method tested in Kaggle and MESSIDOR datasets reached 99.1% and 100% ACC and 99.9% and 100% AUC, respectively. When the obtained results are compared with other results in the literature, it is seen that more successful results are obtained.",computer-aided diagnosis; retinal images; optic disk; classification; segmentation; algorithms; networks; dataset
Review,"Salamat, Nadeem; Missen, Malik M. Saad; Rashid, Aqsa",Diabetic retinopathy techniques in retinal images: A review,artificial intelligence in medicine,2019,Not found,"The diabetic retinopathy is the main reason of vision loss in people. Medical experts recognize some clinical, geometrical and haemodynamic features of diabetic retinopathy. These features include the blood vessel area, exudates, microaneurysm, hemorrhages and neovascularization, etc. In Computer Aided Diagnosis (CAD) systems, these features are detected in fundus images using computer vision techniques. In this paper, we review the methods of low, middle and high level vision for automatic detection and classification of diabetic retinopathy. We give a detailed review of 79 algorithms for detecting different features of diabetic retinopathy during the last eight years.",computer aided diagnosis; optic disc; blood vessels; exudates; diabetic retinopathy screening
Article,"Tehrani, Amirali Amini; Nickfarjam, Ali Mohammad; Ebrahimpour-komleh, Hossein; Aghadoost, Dawood",Multi-input 2-dimensional deep belief network: diabetic retinopathy grading as case study,multimedia tools and applications,2021,Not found,"The most important action in treating diabetic retinopathy is early diagnosis and its progression degree. This paper presents a two-dimensional Deep Belief Network based on Mixed-restricted Boltzmann Machine capable of receiving multiple two-dimensional inputs. Using multiple inputs provides more appropriate prior information for learning. In this proposed method, the image is transferred to the HSV color space and then the 3D color image is converted to a 2D matrix using a weighted mean. This weighted mean is calculated based on the entropy criterion. The resulting two-dimensional matrix is not in pixel and is merely a raw description of the image. The local, regional and global descriptions are extracted from this matrix and provided for the network. The proposed deep network automatically extracts the appropriate features to determine the progression degree of diabetic retinopathy by the network. Window by window image processing can overcome one of the basic problems of image classification, i.e. the small number of labeled data. Experiments showed that the proposed method is superior when compared to other methods.",diabetic retinopathy; mixed-restricted boltzmann machine; retinal image; deep networks; multi-input 2-dimensional deep belief network
Review,"Hormel, Tristan T.; Hwang, Thomas S.; Bailey, Steven T.; Wilson, David J.; Huang, David; Jia, Yali",Artificial intelligence in OCT angiography,progress in retinal and eye research,2021,Not found,"Optical coherence tomographic angiography (OCTA) is a non-invasive imaging modality that provides threedimensional, information-rich vascular images. With numerous studies demonstrating unique capabilities in biomarker quantification, diagnosis, and monitoring, OCTA technology has seen rapid adoption in research and clinical settings. The value of OCTA imaging is significantly enhanced by image analysis tools that provide rapid and accurate quantification of vascular features and pathology. Today, the most powerful image analysis methods are based on artificial intelligence (AI). While AI encompasses a large variety of techniques, machinelearning-based, and especially deep-learning-based, image analysis provides accurate measurements in a variety of contexts, including different diseases and regions of the eye. Here, we discuss the principles of both OCTA and AI that make their combination capable of answering new questions. We also review contemporary applications of AI in OCTA, which include accurate detection of pathologies such as choroidal neovascularization, precise quantification of retinal perfusion, and reliable disease diagnosis.",oct angiography; artificial intelligence; deep learning; image analysis
Review,"Lee, Eric Boya; Wang, Sophia Ying; Chang, Robert T.",Interpreting Deep Learning Studies in Glaucoma: Unresolved Challenges,asia-pacific journal of ophthalmology,2021,Not found,"Deep learning algorithms as tools for automated image classification have recently experienced rapid growth in imaging-dependent medical specialties, including ophthalmology. However, only a few algorithms tailored to specific health conditions have been able to achieve regulatory approval for autonomous diagnosis. There is now an international effort to establish optimized thresholds for algorithm performance benchmarking in a rapidly evolving artificial intelligence field. This review examines the largest deep learning studies in glaucoma, with special focus on identifying recurrent challenges and limitations within these studies which preclude widespread clinical deployment. We focus on the 3 most common input modalities when diagnosing glaucoma, namely, fundus photographs, spectral domain optical coherence tomography scans, and standard automated perimetry data. We then analyze 3 major challenges present in all studies: defining the algorithm output of glaucoma, determining reliable ground truth datasets, and compiling representative training datasets.",artificial intelligence; deep learning; primary open angle glaucoma
Review,"Kuwahara, Takamichi; Hara, Kazuo; Mizuno, Nobumasa; Haba, Shin; Okuno, Nozomi; Koda, Hiroki; Miyano, Akira; Fumihara, Daiki",Current status of artificial intelligence analysis for endoscopic ultrasonography,digestive endoscopy,2021,Not found,"Endoscopic ultrasonography (EUS) is an essential diagnostic tool for various types of pancreatic diseases such as pancreatic tumors and chronic pancreatitis; however, EUS imaging has low specificity for the diagnosis of pancreatic diseases. Artificial intelligence (AI) is a mathematical prediction technique that automates learning and recognizes patterns in data. This review describes the details and principles of AI and deep learning algorithms. The term AI does not have any definite definition; almost all AI systems fall under narrow AI, which can handle single or limited tasks. Deep learning is based on neural networks, which is a machine learning technique that is widely used in the medical field. Deep learning involves three phases: data collection and annotation, building the deep learning architecture, and training and ability validation. For medical image diagnosis, image classification, object detection, and semantic segmentation are performed. In EUS, AI is used for detecting anatomical features, differential pancreatic tumors, and cysts. For this, conventional machine learning architectures are used, and deep learning architecture has been used in only two reports. Although the diagnostic abilities in these reports were about 85-95%, these were exploratory research and very few reports have included substantial evidence. AI is increasingly being used for medical image diagnosis due to its high performance and will soon become an essential technique for medical diagnosis.",artificial intelligence; deep learning; endoscopic ultrasonography; intraductal papillary mucinous neoplasms; pancreas
Article,"Liu, Zhiping; Wang, Chen; Cai, Xiaodong; Jiang, Hong; Wang, Jianhua",Discrimination of Diabetic Retinopathy From Optical Coherence Tomography Angiography Images Using Machine Learning Methods,ieee access,2021,Not found,"The goal was to discriminate between diabetic retinopathy (DR) and healthy controls (HC) by evaluating Optical coherence tomography angiography (OCTA) images from 3 x 3 mm scans with the assistance of different machine learning models. The OCTA angiography dataset of superficial vascular plexus (SVP), deep vascular plexus (DVP), and retinal vascular network (RVN) were acquired from 19 DR (38 eyes) patients and 25 HC (44 eyes). A discrete wavelet transform was applied to extract texture features from each image. Four machine learning models, including logistic regression (LR), logistic regression regularized with the elastic net penalty (LR-EN), support vector machine (SVM), and the gradient boosting tree named XGBoost, were used to classify wavelet features between groups. The area under the receiver operating characteristics curve (AUC), sensitivity, specificity, and diagnostic accuracy of the classifiers were obtained. The OCTA image dataset included 114 and 132 images from DR and HC subjects, respectively. LR-EN and LR using all three images, SVP, DVP, and RVN, provided the highest sensitivity of 0.84 and specificity of 0.80, the best diagnostic accuracy of 0.82, and an AUC of 0.83 and 0.84, respectively, which were slightly lower than that of LR using one image SVP (0.85) or two images DVP and SVP (0.85). The LR-EN and LR classification algorithms had the high sensitivity, specificity, and diagnostic accuracy in identifying DR, which may be promising in facilitating the early diagnosis of DR.",diabetic retinopathy; machine learning; logistic regression; logistic regression regularized with the elastic net penalty; support vector machine
Article,"Wu, Dongxuan; Xiang, Yifan; Wu, Xiaohang; Yu, Tongyong; Huang, Xiucheng; Zou, Yuxian; Liu, Zhenzhen; Lin, Haotian",Artificial intelligence-tutoring problem-based learning in ophthalmology clerkship,annals of translational medicine,2020,Not found,"Background: Artificial intelligence (AI) is an increasingly popular tool in medical investigations. However, AI's potential of aiding medical teaching has not been explored. This study aimed to evaluate the effectiveness of AI-tutoring problem-based-learning (PBL) in ophthalmology clerkship and to assess the student evaluations of this module. Methods: Thirty-eight Grade-two students in ophthalmology clerkship at Sun Yat-Sen University were randomly assigned to two groups. In Group A, students learned congenital cataracts through an AI-tutoring PBL module by exploring and operating an AI diagnosis platform. In Group B, students learned congenital cataracts through traditional lecture given with the same faculty. The improvement in student performance was evaluated by comparing the pre- and post-lecture scores of a specific designed test using paired-T tests. Student evaluations of AI-tutoring PBL were measured by a 17-item questionnaire. Results: The post-lecture scores were significantly higher than the pre-lecture scores in both groups (Group A: P<0.0001, Group B: P<0.0001). The improvement of group A in the part of sign and diagnosis test (Part I) was more significant than that of group B (P=0.016). However, there was no difference in the improvement in the part of treatment plan test (Part II) between two groups (P=0.556). Overall, all respondents were satisfied and agreed that AI-tutoring PBL was helpful, effective, motive and beneficial to help develop critical and creative thinking. Conclusions: The application of AI-tutoring PBL into ophthalmology clerkship improved students' performance and satisfaction. AI-tutoring PBL teaching showed advantage in promoting students' understanding of signs of diseases. The instructors play an indispensable role in AI-tutoring PBL curriculum.",artificial-intelligence; problem-based learning; ophthalmology clerkship
Review,"Tajudin, Nurul Mirza Afiqah; Kipli, Kuryati; Mahmood, Muhammad Hamdi; Lim, Lik Thai; Mat, Dayang Azra Awang; Sapawi, Rohana; Sahari, Siti Kudnie; Lias, Kasumawati; Jali, Suriati Khartini; Hoque, Mohammed Enamul",Deep learning in the grading of diabetic retinopathy: A review,iet computer vision,2022,Not found,"Diabetic Retinopathy (DR) grading into different stages of severity continues to remain a challenging issue due to the complexities of the disease. Diabetic Retinopathy grading classifies retinal images to five levels of severity ranging from 0 to 5, which represents No DR, Mild non-proliferative diabetic retinopathy (NPDR), Moderate NPDR, Severe NPDR, and proliferative diabetic retinopathy. With the advancement of Deep Learning, studies on the application of the Convolutional Neural Network (CNN) in DR grading have been on the rise. High accuracy and sensitivity are the desired outcome of these studies. This paper reviewed recently published studies that employed CNN for DR grading to 5 levels of severity. Various approaches are applied in classifying retinal images which are, (i) by training CNN models to learn the features for each grade and (ii) by detecting and segmenting lesions using information about their location such as microaneurysms, exudates, and haemorrhages. Public and private datasets have been utilised by researchers in classifying retinal images for DR. The performance of the CNN models was measured by accuracy, specificity, sensitivity, and area under the curve. The CNN models and their performance varies for every study. More research into the CNN model is necessary for future work to improve model performance in DR grading. The Inception model can be used as a starting point for subsequent research. It will also be necessary to investigate the attributes that the model uses for grading.",algorithm; diagnosis; images
Article,"Malerbi, Fernando Korn; Melo, Gustavo Barreto","Feasibility of screening for diabetic retinopathy using artificial intelligence, Brazil",bulletin of the world health organization,2022,Not found,"Problem There is currently no national strategy or standardized approach to diabetic retinopathy screening in the Brazilian public health system, and multiple socioeconomic barriers prevent access to eye examination in Brazil's poorest regions. Approach From September 2021 to March 2022 we carried out a pilot project with an artificial intelligence system for diabetic retinopathy screening, embedded in a portable retinal camera. Patients with a diagnosis of diabetes according to the municipality registry were invited to attend nearby clinics for screening on designated days. Trained health-care technicians acquired images which were automatically evaluated by the system, with instant remote evaluation by retinal specialists in selected cases. Local setting Our study was based in Sergipe State, located at a region with high illiteracy rates and no local availability of specialized retina care.The average number of laser treatments performed annually in the last 5 years is 126, for a total State population of 2.3 million. Relevant changes Even though screening was performed free of charge in a convenient location for patients, from a total 2052 eligible individuals, only 1083 attended for screening. Lessons learnt Efforts to raise awareness on the condition screened and to provide health education for patients and local health-care personnel are fundamental for increased attendance. Tailoring screening systems to the local setting, such as determining the trade-off between sensitivity and specificity, is challenging in regions with no current benchmarks. Standards for retinopathy screening based on the strategies adopted by high-income countries may not be realistic in low- and middle-income countries.",not found
Article,"Maqsood, Sarmad; Damasevicius, Robertas; Maskeliunas, Rytis",Hemorrhage Detection Based on 3D CNN Deep Learning Framework and Feature Fusion for Evaluating Retinal Abnormality in Diabetic Patients,sensors,2021,Not found,"Diabetic retinopathy (DR) is the main cause of blindness in diabetic patients. Early and accurate diagnosis can improve the analysis and prognosis of the disease. One of the earliest symptoms of DR are the hemorrhages in the retina. Therefore, we propose a new method for accurate hemorrhage detection from the retinal fundus images. First, the proposed method uses the modified contrast enhancement method to improve the edge details from the input retinal fundus images. In the second stage, a new convolutional neural network (CNN) architecture is proposed to detect hemorrhages. A modified pre-trained CNN model is used to extract features from the detected hemorrhages. In the third stage, all extracted feature vectors are fused using the convolutional sparse image decomposition method, and finally, the best features are selected by using the multi-logistic regression controlled entropy variance approach. The proposed method is evaluated on 1509 images from HRF, DRIVE, STARE, MESSIDOR, DIARETDB0, and DIARETDB1 databases and achieves the average accuracy of 97.71%, which is superior to the previous works. Moreover, the proposed hemorrhage detection system attains better performance, in terms of visual quality and quantitative analysis with high accuracy, in comparison with the state-of-the-art methods.",medical image processing; hemorrhage detection; retinal fundus image; diabetic retinopathy; feature fusion; deep learning
Proceedings Paper,"Kim, DaEl; Hacisoftaoglu, Recep Emre; Karakaya, Mahmut",Optic Disc Localization in Retinal Images using Deep Learning Frameworks,disruptive technologies in information sciences iv,2020,Not found,"Diabetic Retinopathy (DR) is one of the most common eye diseases related to diabetics. If the diagnosis and treatment are conducted too late, it may result in various degrees of vision loss, even blindness. Therefore, individuals with diabetes should have a regular annual eye exam. Studies showed that early detection can prevent vision loss in earlier stages. However, in places such as undeveloped or developing countries, and even sometimes rural areas in developed countries, may not have enough resources for DR screening. Furthermore, even though these places may have adequate equipment, the diagnosis may take a few days to obtain results for the analysis of the ophthalmologists. Developing an automated detection algorithm is an emerging research area to diagnose DR remotely using a retina image. Localizing the optic disc and fovea is an essential task in these DR detection algorithms. After locating the optic disc, finding other components of the retina is easier. Technological developments in recent years enable the acceleration of diagnosis of such diseases including DR. Deep learning techniques are becoming an essential part of the medical field. In the last years, there have been many attempts to automatize the analysis of medical disorders such as breast cancer, glaucoma, diabetic macular edema, and diabetic retinopathy. In this paper, we presented the utilization of a pre-trained deep learning framework to localize the optic disc in the retina images. Using the transfer learning approach for AlexNet with a linear regression output, we localized the optic disc center. Retina images with labeled ground truth values of optic disc center were used to retrain the AlexNet. We tested our proposed deep learning-based optic disc localization approach with three different publicly available datasets including EyePACS, Messidor, and IDRID. Based on the results, the deep learning-based optic disc localization method shows high detection accuracy. The best results for optic disc detection were observed with cross dataset images as the accuracy of 88.35%, while a 97.66% testing accuracy was observed for the merged dataset using transfer learning approach for the pretrained AlexNet.",retinal imaging; diabetic retinopathy; optic disc; localization; deep learning; convolutional neural networks; regression; classification; eyepacs; messidor; idrid; transfer learning; alexnet
Article,"Sahlsten, Jaakko; Jaskari, Joel; Kivinen, Jyri; Turunen, Lauri; Jaanio, Esa; Hietala, Kustaa; Kaski, Kimmo",Deep Learning Fundus Image Analysis for Diabetic Retinopathy and Macular Edema Grading,scientific reports,2019,Not found,"Diabetes is a globally prevalent disease that can cause visible microvascular complications such as diabetic retinopathy and macular edema in the human eye retina, the images of which are today used for manual disease screening and diagnosis. This labor-intensive task could greatly benefit from automatic detection using deep learning technique. Here we present a deep learning system that identifies referable diabetic retinopathy comparably or better than presented in the previous studies, although we use only a small fraction of images (<1/4) in training but are aided with higher image resolutions. We also provide novel results for five different screening and clinical grading systems for diabetic retinopathy and macular edema classification, including state-of-the-art results for accurately classifying images according to clinical five-grade diabetic retinopathy and for the first time for the four-grade diabetic macular edema scales. These results suggest, that a deep learning system could increase the cost-effectiveness of screening and diagnosis, while attaining higher than recommended performance, and that the system could be applied in clinical examinations requiring finer grading.",validation
Article,"Leeza, Mona; Farooq, Humera",Detection of severity level of diabetic retinopathy using Bag of features model,iet computer vision,2019,Not found,"Diabetic retinopathy is a vascular disease caused by uncontrolled diabetes. Its early detection can save diabetic patients from blindness. However, the detection of its severity level is a challenge for ophthalmologists since last few decades. Several efforts have been made for the identification of its limited stages by using pre- and post-processing methods, which require extensive domain knowledge. This study proposes an improved automated system for severity detection of diabetic retinopathy which is a dictionary-based approach and does not include pre- and post-processing steps. This approach integrates pathological explicit image representation into a learning outline. To create the dictionary of visual features, points of interest are detected to compute the descriptive features from retinal images through speed up robust features algorithm and histogram of oriented gradients. These features are clustered to generate a dictionary, then coding and pooling are applied for compact representation of features. Radial basis kernel support vector machine and neural network are used to classify the images into five classes namely normal, mild, moderate, severe non-proliferative diabetic retinopathy, and proliferative diabetic retinopathy. The proposed system exhibits improved results of 95.92% sensitivity and 98.90% specificity in relation to the reported state of the art methods.",eye; patient diagnosis; image representation; medical image processing; feature extraction; image segmentation; support vector machines; image classification; biomedical optical imaging; learning (artificial intelligence); diseases; features model; uncontrolled diabetes; early detection; diabetic patients; severity level; post-processing methods; severity detection; dictionary-based approach; post-processing steps; pathological explicit image representation; visual features; descriptive features; robust features algorithm; histogram; nonproliferative diabetic retinopathy; proliferative diabetic retinopathy
Proceedings Paper,"Pedrosa, Micael; Silva, Jorge Miguel; Matos, Sergio; Costa, Carlos",SCREEN-DR Software rchitecture for the Diabetic Retinopathy Screening,building continents of knowledge in oceans of data: the future of co-created ehealth,2018,Not found,"Diabetic Retinopathy (DR) is a common complication of diabetes that may lead to blindness if not treated. However, since DR evolves without any symptoms in the initial stages, early detection and treatment can only be achieved through routine checks. This article presents the collaborative platform of the SCREEN-DR project that promotes partnership between physicians and researchers in the scope of a regional DR screening program. The role of researchers is to create classification algorithms to evaluate image quality, discard non-pathological cases, locate possible lesions and grade DR severity. Physicians are responsible for annotating datasets, including the visual delineation of lesions. The collaborative platform collects the studies, indexes the images metadata, and manages the creation of datasets and the respective annotation process. An advanced searching mechanism supports multimodal queries over annotated datasets and exporting of results for feeding artificial intelligence algorithms.",diabetic retinopathy; computer-aided diagnosis; image annotation
Article,"Shivsharan, Nitin; Ganorkar, Sanjay",Diabetic Retinopathy Detection Using Optimization Assisted Deep Learning Model: Outlook on Improved Grey Wolf Algorithm,international journal of image and graphics,2021,Not found,"In recent days, study on retinal image remains a significant area for analysis. Several retinal diseases are identified by examining the differences occurring in the retina. Anyhow, the major shortcoming between these analyses was that the identification accuracy is not satisfactory. The adopted framework includes two phases namely; (i) feature extraction and (ii) classification. Initially, the input fundus image is subjected to the feature extraction process, where the features like Local Binary Pattern (LBP), Local Vector Pattern (LVP) and Local Tetra Patterns (LTrP) are extracted. These extracted features are subjected to the classification process, where the Deep Belief Network (DBN) is used as the classifier. In addition, to improve the accuracy, the activation function and hidden neurons of DBN are optimally tuned by means of the Self Improved Grey Wolf Optimization (SI-GWO). Finally, the performance of implemented work is compared and proved over the conventional models.",diabetic retinopathy; feature extraction; deep learning; optimization; grey wolf optimizer
Proceedings Paper,"Furtado, Pedro",Segmentation of Diabetic Retinopathy Lesions by Deep Learning: Achievements and Limitations,"proceedings of the 13th international joint conference on biomedical engineering systems and technologies, vol 2: bioimaging",2020,Not found,"Analysis of Eye Fundus Images (EFI) allows early diagnosis and grading of Diabetic Retinopathy (DR), detecting micro-aneurisms, exudates, haemorrhages, neo-vascularizations and other signs. Automated detection of individual lesions helps visualizing, characterizing and determining degree of DR. Today modified deep convolution neural networks (DCNNs) are state-of-the-art in most segmentation tasks. But the task of segmenting lesions in EFI is challenging due to sizes, varying shapes, similarity and lack of contrast with other parts of the EFI, so that the results are ambiguous. In this paper we test two DCNNs to do a preliminary evaluation of the strengths and limitations using publicly available data. We already conclude that the accuracies are good but the segmentations still have relevant deficiencies. Based on this, we identify the need for further assessment and suggest future work to improve segmentation approaches.",medical imaging; deep learning; segmentation; efi
Article,"Yang, Binhua; Li, Tongyan; Xie, Haidi; Liao, Yulin; Chen, Yi-Ping Phoebe",Classification of Diabetic Retinopathy Severity Based on GCA Attention Mechanism,ieee access,2022,Not found,"Diabetic retinopathy (DR) is one of the major complications caused by diabetes and can lead to severe vision loss or even complete blindness if not diagnosed and treated in a timely manner. In this paper, a new feature map global channel attention mechanism (GCA) is proposed to solve the problem of the early detection of DR. In the GCA module, an adaptive one-dimensional convolution kernel size algorithm based on the dimension of the feature map is proposed and a deep convolutional neural network model for DR color medical image severity diagnosis named GCA-EfficientNet (GENet) is designed. The training process uses transfer learning techniques with a cosine annealing learning rate adjustment strategy. The image regions of interest of GENet are visualized using a heat map. The final accuracy, precision, sensitivity and specificity of the DR dataset of the Kaggle competition reached 0.956, 0.956, 0.956, and 0.989, respectively. A large number of experiment results show that GENet based on the GCA attention mechanism can more effectively extract lesion features and classify the severity of DR.",feature extraction; lesions; support vector machines; adaptation models; diabetes; kernel; image color analysis; attention mechanism; convolutional neural network; deep learning; diabetic retinopathy; medical images
Article,"Asia, Al-Omaisi; Zhu, Cheng-Zhang; Althubiti, Sara A.; Al-Alimi, Dalal; Xiao, Ya-Long; Ouyang, Ping-Bo; Al-Qaness, Mohammed A. A.",Detection of Diabetic Retinopathy in Retinal Fundus Images Using CNN Classification Models,electronics,2022,Not found,"Diabetes is a widespread disease in the world and can lead to diabetic retinopathy, macular edema, and other obvious microvascular complications in the retina of the human eye. This study attempts to detect diabetic retinopathy (DR), which has been the main reason behind the blindness of people in the last decade. Timely or early treatment is necessary to prevent some DR complications and control blood glucose. DR is very difficult to detect in time-consuming manual diagnosis because of its diversity and complexity. This work utilizes a deep learning application, a convolutional neural network (CNN), in fundus photography to distinguish the stages of DR. The images dataset in this study is obtained from Xiangya No. 2 Hospital Ophthalmology (XHO), Changsha, China, which is very large, little and the labels are unbalanced. Thus, this study first solves the problem of the existing dataset by proposing a method that uses preprocessing, regularization, and augmentation steps to increase and prepare the image dataset of XHO for training and improve performance. Then, it takes the advantages of the power of CNN with different residual neural network (ResNet) structures, namely, ResNet-101, ResNet-50, and VggNet-16, to detect DR on XHO datasets. ResNet-101 achieved the maximum level of accuracy, 0.9888, with a training loss of 0.3499 and a testing loss of 0.9882. ResNet-101 is then assessed on 1787 photos from the HRF, STARE, DIARETDB0, and XHO databases, achieving an average accuracy of 0.97, which is greater than prior efforts. Results prove that the CNN model (ResNet-101) has better accuracy than ResNet-50 and VggNet-16 in DR image classification.",classification; diabetic retinopathy; deep learning; cnn; resnet; vggnet
Proceedings Paper,"Wu, Qian; Cheddad, Abbas",Segmentation-based Deep Learning Fundus Image Analysis,"2019 ninth international conference on image processing theory, tools and applications (ipta)",2019,Not found,"Diabetic retinopathy is the most common cause of new cases of blindness in people of working age. Early diagnosis is the key to slowing the progression of the disease, thus preventing blindness. Retinal fundus images form an important basis for judging these retinal diseases. To the best of our knowledge, no prior studies have scrutinized the predictive power of the different compositions of retinal images using deep learning. This paper is to investigate whether there exists specific region that could assist in better prediction of the retinopathy disease, meaning to find the best region in fundus images that can boost the prediction power of models for retinopathy classification. To this end, with image segmentation techniques, the fundus image is divided into three different segments, namely, the optic disc, the blood vessels, and the other regions (regions other than blood vessels and optic disk). These regions are then contrasted against the performance of original fundus images. The convolutional neural network as well as transfer deep learning with the state-of-the-art pre-trained models (i.e., AlexNet, GoogleNet, Resnet50, VGG19) are deployed. We report the average of ten runs for each model. Different machine learning evaluation metrics are used. The other regions' segment reveals more predictive power than the original fundus image especially when using AlexNet/Resnet50.",fundus image; retinopathy; deep learning; alexnet; image segmentation
Review,"Kang, Linda; Ballouz, Dena; Woodward, Maria A.",Artificial intelligence and corneal diseases,current opinion in ophthalmology,2022,Not found,"Purpose of review Artificial intelligence has advanced rapidly in recent years and has provided powerful tools to aid with the diagnosis, management, and treatment of ophthalmic diseases. This article aims to review the most current clinical artificial intelligence applications in anterior segment diseases, with an emphasis on microbial keratitis, keratoconus, dry eye syndrome, and Fuchs endothelial dystrophy. Recent findings Most current artificial intelligence approaches have focused on developing deep learning algorithms based on various imaging modalities. Algorithms have been developed to detect and differentiate microbial keratitis classes and quantify microbial keratitis features. Summary Artificial intelligence may aid with early detection and staging of keratoconus. Many advances have been made to detect, segment, and quantify features of dry eye syndrome and Fuchs. There is significant variability in the reporting of methodology, patient population, and outcome metrics. Artificial intelligence shows great promise in detecting, diagnosing, grading, and measuring diseases. There is a need for standardization of reporting to improve the transparency, validity, and comparability of algorithms.",artificial intelligence; dry eye syndrome; fuchs endothelial dystrophy; keratoconus; microbial keratitis
